"Name","Team","Season","PA","BBE","Damage/BBE (%)","90th Pctile EV","Max EV","Pulled FB (%)","SEAGER","Selectivity (%)","Hittable Pitch Take (%)","Chase (%)","Z-Contact (%)","Whiff vs. Secondaries (%)","Contact Over Expected (%)"
"Ramon Urias","BAL","2025","91","61","21.3","102.6","107.1","9.8","23.4","53.9","30.5","31.5","85.6","30.2","-5.3"
"Justyn-Henry Malloy","DET","2025","96","53","20.8","102.6","111.7","11.3","25.3","57.7","32.4","19.1","80.4","43.3","-7.9"
"Michael Stefanic","TOR","2025","5","5","20","102.6","102.8","0","4.8","41.2","36.4","27.3","71.4","0","-6.8"
"Blake Dunn","CIN","2025","75","35","20","102.6","110","0","12.7","55.3","42.6","29.4","78.3","32.8","-13.3"
"Miguel Vargas","CWS","2025","173","123","19.5","102.6","110","10.6","10.5","47.2","36.7","26.4","83.8","22.9","-0.8"
"Isaac Paredes","HOU","2025","189","129","18.6","102.6","107.4","20.2","20.5","57.3","36.8","27.6","89.6","22.4","5.3"
"Isaac Collins","MIL","2025","73","45","15.6","102.6","111.2","6.7","6","49.5","43.5","23","80.5","23.5","-11.8"
"Endy Rodriguez","PIT","2025","51","33","15.2","102.6","104.9","9.1","-11","40.5","51.5","21.3","83.6","28.9","-6.2"
"Jhonny Pereda","OAK","2025","36","20","15","102.6","106.9","5","20.9","55","34.1","29.2","70.7","37","-13.4"
"Jose Tena","WSH","2025","87","61","14.8","102.6","108.5","0","11.3","51","39.7","33.3","85.5","27","-0.4"
"David Villar","SF","2025","23","14","35.7","102.7","108.5","0","1.9","50","48.1","14.6","79.2","36.4","-12.5"
"Brice Turang","MIL","2025","179","121","17.4","102.7","109.8","1.7","12","49.3","37.3","30.7","87.6","26.8","-0.9"
"Cedric Mullins","BAL","2025","169","106","17","102.7","108.4","20.8","12.2","50.7","38.5","28","88.2","25.2","-3.3"
"Evan Carter","TEX","2025","37","27","14.8","102.7","111.1","11.1","6.5","48.5","42","28.8","87.8","37.5","-6.7"
"Elias Diaz","SD","2025","96","67","13.4","102.7","111.4","11.9","13.3","50","36.7","36","83.7","36.6","-5.5"
"Tyrone Taylor","NYM","2025","127","92","10.9","102.7","109.5","5.4","5.4","46.2","40.8","34.2","90.5","30.3","1.4"
"Bryan De La Cruz","ATL","2025","50","30","40","102.8","106.5","6.7","-0.7","39.5","40.2","36.7","78.3","36.5","-10.1"
"Austin Hedges","CLE","2025","48","25","24","102.8","106","24","24.4","55.8","31.4","32.5","86.3","50","-7.9"
"Andy Pages","LAD","2025","168","116","17.2","102.8","110.6","11.2","5.3","43.1","37.8","37.7","88.8","24.9","0.3"
"Andres Gimenez","TOR","2025","143","103","12.6","102.8","105.9","8.7","1","44.7","43.7","40.1","84","21.5","-0.3"
"Ryan O'Hearn","BAL","2025","133","94","22.3","102.9","109.4","8.5","11.9","53.4","41.5","26.9","89.5","33.3","1.3"
"Kyle Higashioka","TEX","2025","67","54","20.4","102.9","106.7","14.8","12.5","49.7","37.2","25","90.1","31.5","2.9"
"Pedro Pages","STL","2025","116","83","16.9","102.9","108.7","10.8","3.6","42.6","39","39","88.7","33.9","-2.3"
"Joey Ortiz","MIL","2025","155","120","12.5","102.9","108.9","4.2","6","50.1","44.1","33.9","92.5","16.4","5.7"
"Willy Adames","SF","2025","201","129","31","103","109.9","9.3","16.7","50.9","34.2","29.4","85.6","41","-4.4"
"Nolan Gorman","STL","2025","90","55","27.3","103","107.2","14.5","15.7","53.1","37.4","26.3","81.4","28.8","-5.7"
"Andrew Benintendi","CWS","2025","96","68","22.1","103","108.5","27.9","18.8","50.4","31.6","33.5","78.4","29.9","-5.1"
"Jose Trevino","CIN","2025","99","79","19","103","107.9","7.6","4.4","45.9","41.5","36.2","89.7","27.2","2.6"
"DaShawn Keirsey","MIN","2025","43","30","10","103","106.9","3.3","20.8","52","31.2","34","89.4","29.3","-2.3"
"Ryan Bliss","SEA","2025","40","24","25","103.1","104","4.2","9.8","50.5","40.7","24.2","62.8","34.5","-18.4"
"Christian Encarnacion-Strand","CIN","2025","60","45","24.4","103.1","111.4","11.1","1.4","40.2","38.8","53","82.5","28.6","-2.1"
"Luis Matos","SF","2025","64","50","14","103.1","111.6","14","19.4","51.9","32.5","37.8","85","31.6","0.9"
"Otto Lopez","MIA","2025","118","92","12","103.1","109.9","2.2","7.3","49.6","42.3","36.2","87.6","25","4.3"
"Nick Maton","CWS","2025","63","35","25.7","103.2","109.3","17.1","18","50.8","32.8","29.1","70.8","56.9","-19.6"
"Patrick Bailey","SF","2025","127","79","16.5","103.2","107.8","8.9","1","43.7","42.7","34.8","78","46.9","-12.9"
"Brendan Donovan","STL","2025","188","153","16.3","103.2","109.2","7.2","0.3","46","45.7","29.8","93.5","17.2","7.1"
"Liover Peguero","PIT","2025","10","6","0","103.2","104.1","0","-18.4","31.6","50","31.2","100","37.5","-3.5"
"Brandon Marsh","PHI","2025","75","44","27.3","103.3","105.8","9.1","11.9","50.3","38.4","34.5","87.5","31.9","-1"
"Andrew McCutchen","PIT","2025","146","103","24.3","103.3","110.2","8.7","22","53.5","31.5","28.1","85.4","35.4","-4.9"
"Oliver Dunn","MIL","2025","41","28","14.3","103.3","109.1","0","10.1","50.5","40.4","24.7","72.1","30.8","-16.9"
"Freddy Fermin","KC","2025","88","67","13.4","103.3","108.3","7.5","15.2","45.1","29.9","34.8","86.5","25","-2.8"
"Luis Rengifo","LAA","2025","140","107","11.2","103.3","106.4","4.7","-3.4","40.5","43.9","37.1","85.9","22.5","-1.8"
"Mickey Gasper","MIN","2025","39","25","4","103.3","108.5","8","11.4","53.8","42.4","25.5","88.9","37.1","-5.5"
"Bo Naylor","CLE","2025","118","75","29.3","103.4","108.8","13.3","12.4","47.7","35.3","33.6","86.8","36.9","-2.6"
"Javier Baez","DET","2025","134","96","16.7","103.4","108.4","9.4","13.5","50.9","37.4","42.6","86.5","34.5","-2.9"
"Jonah Heim","TEX","2025","129","91","13.2","103.4","109.6","4.4","3.9","43.8","39.9","30.7","82.9","26.2","-3.3"
"Martin Maldonado","SD","2025","67","43","20.9","103.5","107.1","11.6","-11.7","43.6","55.3","39.7","87","48.1","-17"
"Max Schuemann","OAK","2025","40","31","12.9","103.5","105.7","0","-0.6","40.2","40.8","29.3","88.9","28.6","-4.4"
"Kyle Isbel","KC","2025","115","90","11.1","103.5","108.4","12.2","-4.1","41.7","45.8","34.5","88.7","25.5","0"
"Sam Huff","SF","2025","44","22","27.3","103.6","104.9","0","9.4","50","40.6","29.9","76","59.4","-15.1"
"Victor Caratini","HOU","2025","81","56","21.4","103.6","110.1","7.1","7.6","49.5","41.9","24.9","86","23.1","-1"
"Derek Hill","MIA","2025","63","35","20","103.6","112.3","0","8.5","47.2","38.7","40.9","87.1","39.2","-9.7"
"Curtis Mead","TB","2025","67","42","19","103.6","111","7.1","18.5","51.8","33.3","27.8","92.1","15.7","4.2"
"Nick Fortes","MIA","2025","41","30","13.3","103.6","106.4","10","14","47.3","33.3","41.5","91.2","32.1","2.1"
"Alex Bregman","BOS","2025","202","141","26.2","103.7","109.6","16.3","12.5","50.8","38.3","24.1","90.2","21.1","2.1"
"Nick Castellanos","PHI","2025","182","136","19.1","103.7","108.5","5.9","16.2","43.8","27.6","39.1","84.9","35.7","-3.2"
"Andy Ibanez","DET","2025","70","56","17.9","103.7","108.9","12.5","11.5","47.2","35.7","32.9","90.4","19.4","0.2"
"Brooks Baldwin","CWS","2025","137","96","14.6","103.7","110","9.4","4.7","46.2","41.5","33.1","80.2","25.9","-3.2"
"Johan Rojas","PHI","2025","91","58","8.6","103.7","112.4","6.9","13.7","49.3","35.6","43.1","85.9","29.8","-2.5"
"Lenyn Sosa","CWS","2025","155","118","30.5","103.8","107.6","6.8","-2.5","40.3","42.8","51.6","87.9","29.6","2.6"
"Connor Joe","CIN","2025","13","10","30","103.8","106.4","0","26","60.9","34.9","14.6","86.7","28.6","-1.8"
"Carson Kelly","CHC","2025","110","74","27","103.8","106.6","14.9","22","53","31","21.7","81.2","27.8","-4.5"
"Mike Yastrzemski","SF","2025","162","107","25.2","103.8","106.8","15","6.5","48.7","42.2","31.5","84.5","18.3","0.8"
"Alec Bohm","PHI","2025","170","131","22.1","103.8","109.3","1.5","12.2","47.7","35.5","28.8","90.7","20.6","6.8"
"Michael Busch","CHC","2025","164","101","21.8","103.8","107.8","15.8","16.4","49.7","33.3","29.2","84.4","38.5","-7.2"
"Will Benson","CIN","2025","25","16","18.8","103.8","106.9","12.5","20","50","30","26.9","77.1","34.3","-12.6"
"Ezequiel Tovar","COL","2025","74","57","15.8","103.8","111.1","8.8","8","43.1","35.1","41.1","85.9","31","0.2"
"Alex Verdugo","ATL","2025","104","86","9.3","103.8","107.7","2.3","-2.1","50.8","52.9","24.4","94.2","16.7","8"
"Spencer Torkelson","DET","2025","186","115","33","103.9","110.5","16.5","15","49.7","34.7","25.6","83.4","33.9","-7"
"Cody Bellinger","NYY","2025","170","119","22.7","103.9","110.2","10.9","13.5","50.6","37.1","31.9","88.5","24.9","1.8"
"Willi Castro","MIN","2025","107","72","20.8","103.9","109.9","13.9","4.1","41.8","37.7","37.5","83.4","18.3","-2.8"
"Gabriel Moreno","ARI","2025","125","90","16.7","103.9","105.6","1.1","7.9","49.4","41.5","32.1","88.4","18.5","2.8"
"Luis Garcia","WSH","2025","152","120","15.8","103.9","111.7","7.5","12.3","49.9","37.6","37.9","92.5","26.1","4.3"
"Kyle Tucker","CHC","2025","205","153","27.5","104","108.1","19","16.4","49.7","33.3","23.6","88.3","22.6","0.7"
"Daniel Schneemann","CLE","2025","103","65","23.1","104","111.2","6.2","11.9","50","38.1","30.1","79","34.5","-8.9"
"Lourdes Gurriel","ARI","2025","173","145","17.9","104","109.1","13.8","11.3","44.2","32.9","36.4","89.4","28.7","3.6"
"Jared Triolo","PIT","2025","91","67","16.4","104","106.2","10.4","10.3","45.9","35.6","33.9","84.6","32.9","-3.6"
"Trent Grisham","NYY","2025","133","90","33.3","104.1","109.8","15.6","6.8","51","44.2","22.8","95","22.4","-0.4"
"Gleyber Torres","DET","2025","143","115","27","104.1","108.9","11.3","18.4","52.2","33.8","21.6","87.1","17.1","0.4"
"Dylan Moore","SEA","2025","104","69","20.3","104.1","108.6","14.5","12.9","50","37.1","26.6","81.2","25.8","-5.2"
"Dane Myers","MIA","2025","88","63","27","104.2","106.8","3.2","-4.5","42.1","46.6","29.2","76.3","23.4","-5.6"
"Jazz Chisholm","NYY","2025","125","67","22.4","104.2","109.5","13.4","18.3","55.7","37.4","30.3","73.8","40.2","-12.6"
"JJ Bleday","OAK","2025","171","115","20.9","104.2","109.9","17.4","13.7","51.6","37.9","26.7","88.5","35.3","-5.5"
"Tim Tawa","ARI","2025","92","61","19.7","104.2","109.7","6.6","15.5","53.3","37.8","35.1","89","38.8","-9.2"
