"Name","Team","Season","PA","BBE","Damage/BBE (%)","90th Pctile EV","Max EV","Pulled FB (%)","SEAGER","Selectivity (%)","Hittable Pitch Take (%)","Chase (%)","Z-Contact (%)","Whiff vs. Secondaries (%)","Contact Over Expected (%)"
"Edgar Quero","CWS","2025","87","62","16.1","104.2","106.9","1.6","1.7","44.4","42.7","25.9","89.5","20.8","0.3"
"Jose Miranda","MIN","2025","36","23","8.7","104.2","109.7","17.4","-11","39","50","36.8","88.1","31.6","-2.5"
"Blake Sabol","BOS","2025","18","10","0","104.2","105.5","0","-7.7","43.5","51.2","44","90.9","36.4","-5.4"
"Austin Wells","NYY","2025","149","105","31.4","104.3","111","13.3","11.1","45.8","34.7","36","83.7","31.4","-2.6"
"Logan O'Hoppe","LAA","2025","138","84","31","104.3","111.1","14.3","16.9","48.8","31.9","33.2","75.8","46.2","-11.7"
"Mitch Garver","SEA","2025","81","44","27.3","104.3","107.4","11.4","16.5","54.6","38.1","20.2","76.3","37.1","-9.7"
"Rhys Hoskins","MIL","2025","158","99","27.3","104.3","111.1","23.2","19.7","54.4","34.7","24.1","81.4","35","-5.7"
"Paul DeJong","WSH","2025","57","30","26.7","104.3","108.7","3.3","8.5","39.3","30.8","36.4","75.8","31.1","-7.4"
"Mark Vientos","NYM","2025","167","119","24.4","104.3","110.4","5","12.8","48.4","35.6","32.7","79.6","38.8","-7"
"Anthony Santander","TOR","2025","173","116","19.8","104.3","110.4","20.7","6.3","45.5","39.2","34.8","81.9","20.6","1.5"
"Graham Pauley","MIA","2025","79","54","13","104.3","111.1","7.4","7.7","48.2","40.5","36.3","78.8","30.4","-6.1"
"Matt Mervis","MIA","2025","111","57","36.8","104.4","107.8","26.3","10.1","43.3","33.2","39","68.6","45","-17.2"
"Edmundo Sosa","PHI","2025","57","41","24.4","104.4","108.4","0","2.2","43","40.8","42.3","80.3","27.9","1.5"
"Masyn Winn","STL","2025","138","89","21.3","104.4","109","10.1","15.4","55.5","40.1","30.1","84.2","21.6","-2.9"
"Matt Thaiss","CWS","2025","96","60","15","104.4","109.9","8.3","19.8","49.7","29.9","25.1","81.9","23.4","-5.8"
"Will Smith","LAD","2025","142","90","32.2","104.5","107.7","8.9","21.5","58.4","36.9","23.8","88.7","27.1","-1.9"
