Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Marty Gair","PHI",0,0,0,4.90209,1,0,0,0,,1.04,5,1,1,1,0,1,0,0,1,8.80771,4.79517,1.83679,1.59518,0.188478,0.102613,0.08586517721414566,0.253564,1.69959,0.287185,0.76109,,,5.28563,-0.00885199,-0.0445598,999,,,,,,,4.095999717712404,3.9384614114930616,4.199999809265137,4.038461503192517,,,,,,,,,,,,,,,,,,,"Marty Gair","sa3031829",700248
"Riley Huge","ATH",0,0,0,4.82894,1,0,0,0,,1.15,5,1,1,1,0,1,0,0,1,8.09965,4.25457,1.90375,1.36377,0.212298,0.111516,0.10078274458646774,0.243208,1.37694,0.282288,0.679012,,,4.90033,-0.0088646,-0.0447032,999,,,,,,,4.909999823570253,4.269565152490973,4.7499998807907104,4.1304347645808255,,,,,,,,,,,,,,,,,,,"Riley Huge","sa3034253",803314
"Anderson Paulino","KCR",0,0,0,5.13674,1,0,0,0,,1.20864,6,1,1,1,0,1,0,0,1,6.21121,4.40144,1.41118,1.10192,0.145259,0.102934,0.042324215173721313,0.27704,1.6551,0.307272,0.695373,,,5.00428,-0.00887067,-0.0337531,999,,,,,,,5.343970251083375,4.421456998163302,5.043223142623901,4.172626943934251,,,,,,,,,,,,,,,,,,,"Anderson Paulino","sa3007991",678255
"Tanner Kiest","LAD",0,0,0,4.75576,1,0,0,0,,1.36347,6,1,1,1,0,1,0,0,1,8.04928,4.70064,1.71238,1.3252,0.199101,0.116272,0.0828295573592186,0.242949,1.47406,0.279742,0.707391,,,5.0153,-0.0088906,-0.0304059,999,,,,,,,6.489650344848634,4.759670643730355,5.817331314086914,4.266575178813987,,,,,,,,,,,,,,,,,,,"Tanner Kiest","sa738380",641750
"Michael Hobbs","SEA",0,0,0,4.49268,1,0,0,0,,1.28406,5,1,1,1,0,1,0,0,1,7.92731,4.70818,1.68373,1.14832,0.20832,0.123725,0.08459492772817612,0.233794,1.37762,0.274666,0.69425,,,4.78336,-0.00889985,-0.0405084,999,,,,,,,5.9020140171051025,4.59638384535701,5.4202797412872314,4.2212177348213915,,,,,,,,,,,,,,,,,,,"Michael Hobbs","sa3017498",669419
"Robinson Martínez","BAL",0,0,0,4.87022,1,0,0,0,,1,5,1,1,1,0,1,0,0,1,8.97866,4.80414,1.86894,1.50622,0.199526,0.106759,0.09276697784662247,0.252015,1.64511,0.29092,0.74714,,,5.11775,-0.00891703,-0.0508228,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Robinson Martinez","sa873188",660822
"Bryan Magdaleno","TEX",0,0,0,5.09376,1,0,0,0,,1.03796,5,1,1,1,0,1,0,0,1,7.98831,5.56618,1.43515,1.23825,0.196444,0.13688,0.059563517570495605,0.249473,1.57751,0.291391,0.692721,,,5.20191,-0.00894928,-0.0464268,999,,,,,,,4.080934381484985,3.931671971548651,4.1898205280303955,4.0365755476524035,,,,,,,,,,,,,,,,,,,"Bryan Magdaleno","sa3016478",692447
"Sam Highfill","PHI",0,0,0,5.55724,1,1,0,0,,3.28364,16,4,2,2,1,1,0,0,2,6.65057,4.07255,1.63302,1.75679,0.15649,0.0958286,0.06066177040338516,0.26668,1.57733,0.2831,0.692393,,,5.73865,-0.00896269,0.00616066,999,,,,,,,2.598903560638428,0.7914713641597362,4.418178081512451,1.345514118429347,,,,,,,,,,,,,,,,,,,"Sam Highfill","sa3025519",687122
"Bjorn Johnson","MIL",0,0,0,5.40845,1,1,0,0,,2.2308,10,2,1,1,0,1,0,0,2,7.09869,5.52473,1.28489,1.4601,0.170375,0.132599,0.03777649998664856,0.252734,1.61452,0.278698,0.690621,,,5.70837,-0.00900781,0.0401529,999,,,,,,,12.307894659042361,5.517264457889207,12.153982877731323,5.448270367169236,,,,,,,,,,,,,,,,,,,"Bjorn Johnson","sa3023617",807723
"Ryan Loutos","LAD",1,1,0,4.5566,26,0,0,1,,26,112,26,14,13,3,10,,1,21,7.3159,3.5026,2.08871,1.10835,0.189468,0.0907105,0.09875733405351639,0.257699,1.38259,0.298147,0.685529,,,4.38891,-0.00903016,-0.0582282,999,,,,,,,100.9,3.880769230769231,104,4,,,,,,,,,,,,,,,,,,,"Ryan Loutos","29521",702795
