Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Enmanuel Valdez","PIT",6,25,23,5,3,1,0,1,3,3,2,0,6,0,0,0,,0,0,0.229282,0.0867818,0.224477,0.386596,0.296925,0.393014,0.30383,0.689939,0.163732,4.22973,0.268674,-0.0349445,-0.0238981,2.7268,-0.211226,88.9061,-0.0588426,0.0332307,-0.3917074128985405,-0.3098248578608036,0.0148795,999,,,,,,,23.3,3.883333333,23.3,3.883333333,,,,,,,,,,,,,,,,,,,"Enmanuel Valdez","21716",665839
"Drew Avans","ATH",4,15,14,3,2,1,0,0,2,1,1,0,4,0,0,0,,1,0,0.217204,0.0866737,0.266357,0.325404,0.28709,0.302614,0.267872,0.589704,0.08541,6.03844,0.29695,0.011561,0.0843166,1.20203,-0.560781,69.6982,0.0958776,0.00686972,-0.426715649664402,0.06103638606145978,0.0145147,999,,,,,,,10.6,2.65,10.6,2.65,,,,,,,,,,,,,,,,,,,"Drew Avans","sa3006937",682183
"Tomás Nido","DET",6,23,22,5,4,1,0,0,2,2,1,0,6,0,0,0,,0,0,0.227329,0.0411484,0.243567,0.168941,0.260946,0.333542,0.262554,0.594488,0.106213,2.04643,0.285718,-0.0688859,-0.0368697,1.73385,-0.95235,66.9085,-0.105756,-0.110417,-0.9754022732377052,0.34097200632095337,0.0141322,999,,,,,,,11.9,1.983333333,11.9,1.983333333,,,,,,,,,,,,,,,,,,,"Tomas Nido","13755",621512
"Nacho Alvarez Jr.","ATL",1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0.252399,0.0908365,0.210067,0.432417,0.328905,0.322027,0.296664,0.650932,0.0696283,3.8444,0.318047,-0.000786396,-0.00333998,0.516527,-0.0710778,85.4966,-0.00412637,0.00435972,-0.09115938330069184,0.05852638278156519,0.0141127,742.6799926757812,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Nacho Alvarez Jr.","31765",805373
"Blaine Crim","TEX",10,45,41,10,7,2,0,1,5,5,3,0,10,1,0,0,,0,0,0.237539,0.0764286,0.21121,0.361861,0.303807,0.375695,0.301324,0.679502,0.138156,3.09472,0.278812,-0.0512277,-0.0498979,4.77633,-0.46692,92.8715,-0.101126,0.00794622,-0.46679285913705826,-0.9050166923552752,0.013782,999,,,,,,,42.2,4.22,42.2,4.22,,,,,,,,,,,,,,,,,,,"Blaine Crim","25714",688760
"Jake Bauers","MIL",33,142,124,25,15,5,0,5,16,17,16,0,48,1,1,0,,4,1,0.205078,0.110877,0.335848,0.33014,0.297997,0.377915,0.301245,0.675912,0.172837,4.66925,0.278419,-0.0978107,0.14863,14.9788,-1.4741,89.3897,0.0508196,-0.522782,-1.731974020600319,-2.8700044751167297,0.0136748,706.9299926757812,,,,,,,133.3,4.039393939,133.3,4.039393939,,,,,,,,,,,,,,,,,,,"Jake Bauers","15194",641343
"Travis Jankowski","TBR",7,31,27,6,5,1,0,0,3,2,3,0,6,0,0,0,,1,0,0.233438,0.0915641,0.201452,0.454522,0.307997,0.285034,0.272992,0.593031,0.0515961,5.65877,0.29676,0.0331593,0.122556,2.54929,-1.00648,77.0736,0.155715,0.00780121,-0.6418337523937225,-0.24713706597685814,0.0136219,750.739990234375,,,,,,,20.4,2.914285714,20.4,2.914285714,,,,,,,,,,,,,,,,,,,"Travis Jankowski","13768",608671
"Oscar Gonzalez","SDP",8,36,34,8,6,2,0,1,4,4,1,0,8,0,0,0,,0,0,0.249731,0.0398211,0.228137,0.174549,0.283631,0.384187,0.29228,0.667817,0.134456,3.74202,0.301885,-0.0360194,-0.0260551,3.55191,-0.631635,87.4317,-0.0620745,-0.105927,-0.599044781178236,-0.4915752708911896,0.0117042,750.8800048828125,,,,,,,29,3.625,29,3.625,,,,,,,,,,,,,,,,,,,"Oscar Gonzalez","20970",660757
"Austin Hedges","CLE",37,145,129,23,17,4,0,3,12,13,10,0,43,2,1,3,,2,0,0.180605,0.0669328,0.295753,0.226313,0.246496,0.277544,0.238527,0.524039,0.0969389,3.58691,0.24103,-0.15597,0.0172417,8.07829,-8.71846,50.1446,-0.138729,0.798059,-8.331416621804237,3.6205893754959106,0.0114425,747.97998046875,,,,,,,79.4,2.145945945,79.4,2.145945945,,,,,,,,,,,,,,,,,,,"Austin Hedges","12976",595978
"Luken Baker","STL",13,56,49,11,6,2,0,2,6,7,6,0,15,0,1,0,,0,0,0.218933,0.105475,0.266539,0.395721,0.303335,0.390522,0.306874,0.693857,0.171589,2.42694,0.265353,-0.114191,-0.0632317,6.13368,-0.329974,95.0057,-0.177422,-0.0734065,-0.5070968419313431,-1.2470176368951797,0.0109374,724.469970703125,,,,,,,55.2,4.246153846,55.2,4.246153846,,,,,,,,,,,,,,,,,,,"Luken Baker","21497",663609
"Blaze Alexander","ARI",11,45,41,10,7,2,0,1,5,4,3,0,14,1,0,0,,1,0,0.234759,0.0756126,0.301975,0.250393,0.304004,0.345851,0.292576,0.649855,0.111092,4.176,0.331681,-0.0345174,-0.0201645,4.50072,-0.787731,82.3135,-0.0546819,-0.0299266,-1.0098955072462559,-0.4090932961553335,0.0106239,746.6199951171875,,,,,,,44.1,4.009090909,44.1,4.009090909,,,,,,,,,,,,,,,,,,,"Blaze Alexander","23789",677942
"Nick Loftin","KCR",1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.246625,0.0875013,0.157732,0.554745,0.315013,0.315995,0.286952,0.631008,0.0693702,3.77853,0.287777,-0.00262327,-0.00898386,0.473368,-0.109215,78.327,-0.0116071,0.0494621,-0.1351352520287037,0.06736338138580322,0.0102869,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Nick Loftin","27630",679845
"Dustin Harris","TEX",12,50,45,10,7,2,0,1,6,5,4,0,13,1,0,0,,2,0,0.224285,0.0809854,0.257483,0.314528,0.293737,0.344545,0.284511,0.638282,0.12026,5.73032,0.290067,0.0790153,0.0854208,4.63631,-1.18952,81.1038,0.164436,-0.0181765,-0.9125768840312958,-0.6626209653913975,0.010042,749.5800170898438,,,,,,,45,3.75,45,3.75,,,,,,,,,,,,,,,,,,,"Dustin Harris","25705",687957
"Victor Mesa Jr.","MIA",6,26,24,5,4,1,0,1,3,3,2,0,6,0,0,0,,0,0,0.226911,0.0608257,0.228951,0.265672,0.276305,0.356112,0.280115,0.632417,0.129201,3.25172,0.273655,-0.0145635,-0.0360724,2.28814,-0.700104,72.9695,-0.0506359,0.0174955,-0.8755350634455681,0.1093165036290884,0.00968361,999,,,,,,,22.3,3.716666666,22.3,3.716666666,,,,,,,,,,,,,,,,,,,"Victor Mesa Jr.","sa3010700",683748
"Heriberto Hernandez","MIA",1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.24367,0.0878382,0.220411,0.398521,0.316105,0.39429,0.314191,0.710395,0.15062,4.691,0.290066,0,2.955e-9,0.597084,-0.000565875,95.818,2.955e-9,0,-0.02552491130967427,-0.05509259179234505,0.00944855,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Heriberto Hernandez","sa3005630",681715
"Tyler Callihan","CIN",5,20,18,4,3,1,0,0,2,2,1,0,6,0,0,0,,1,0,0.223121,0.0713484,0.280005,0.254811,0.285322,0.353725,0.284341,0.639047,0.130605,4.85113,0.292131,0.0169195,0.0164492,1.8518,-0.47853,71.9467,0.0333688,0.0461639,-0.6342538148164749,0.046163905411958694,0.00852713,999,,,,,,,12.2,2.44,12.2,2.44,,,,,,,,,,,,,,,,,,,"Tyler Callihan","27497",682997
"Eguy Rosario","SDP",2,10,9,2,1,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.219989,0.0748957,0.274894,0.272454,0.282251,0.351459,0.282087,0.63371,0.13147,3.77233,0.291793,-0.00376047,-0.0135382,0.931403,-0.263896,80.5971,-0.0172987,-0.050289,-0.25414810702204704,-0.013560615479946136,0.00788438,709.030029296875,,,,,,,8.1,4.05,8.1,4.05,,,,,,,,,,,,,,,,,,,"Eguy Rosario","19964",666703
"Matt Koperniak","STL",5,20,19,4,3,1,0,0,2,2,1,0,4,0,0,0,,0,0,0.236931,0.0619864,0.202142,0.306648,0.286327,0.354494,0.284777,0.640821,0.117563,2.72143,0.279182,-0.0271684,-0.0388457,1.87479,-0.475632,80.1895,-0.0660141,0.156649,-0.5415366888046265,-0.0600171834230423,0.00773241,999,,,,,,,9.3,1.86,9.3,1.86,,,,,,,,,,,,,,,,,,,"Matt Koperniak","sa3014834",689288
"Jared Serna","MIA",2,10,9,2,2,1,0,0,1,1,1,0,2,0,0,0,,0,0,0.234879,0.0701277,0.196441,0.356992,0.29239,0.33305,0.277747,0.62544,0.0981712,3.89638,0.285336,0.00104318,-0.0102943,0.895879,-0.299421,71.3819,-0.00925112,0.00399658,-0.35859009623527527,0.07745336787775159,0.0064955,999,,,,,,,8.1,4.05,8.1,4.05,,,,,,,,,,,,,,,,,,,"Jared Serna","sa3015579",691858
"Ronny Mauricio","NYM",5,20,19,5,3,1,0,1,2,2,1,0,5,0,0,0,,1,0,0.244484,0.0511103,0.223967,0.228205,0.284763,0.398227,0.298506,0.682989,0.153742,5.24748,0.288493,0.0163629,0.054264,2.09575,-0.254667,91.4428,0.0706269,-0.595975,-0.1347757652401924,-0.48764194548130035,0.00557444,644,,,,,,,26.2,5.24,26.2,5.24,,,,,,,,,,,,,,,,,,,"Ronny Mauricio","23698",677595
"Chadwick Tromp","BAL",1,5,4,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.219556,0.0677409,0.250662,0.270248,0.274118,0.296366,0.25821,0.570484,0.0768105,2.40089,0.283815,-0.00927574,-0.00844821,0.336445,-0.209978,65.3016,-0.0177239,0.00730979,-0.20321656949818134,0.09913077065721154,0.00545736,740,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Chadwick Tromp","16953",644433
"Brewer Hicklen","DET",1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,,0,0,0.207019,0.0873082,0.370051,0.235935,0.283307,0.304743,0.266647,0.58805,0.0977233,6.16116,0.326778,0.00921472,0.0372982,0.395749,-0.191856,69.7736,0.0465129,-0.0153401,-0.12725143134593964,0.002715468406677246,0.00456486,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Brewer Hicklen","20450",676551
