Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brayan Bello","BOS",9,7,10,4.13984,21,21,0,0,,118,509,116,59,54,14,42,,6,107,8.11018,3.1897,2.54262,1.03939,0.20988,0.0825448,0.1273350715637207,0.251905,1.33485,0.300802,0.711637,,,4.01096,1.53549,1.51822,372.8999938964844,,,,,,,469.4,3.977966101694915,478,4.0508474576271185,,,,,,,,,,,,,,,,,,,"Brayan Bello","23920",678394
"Mason Miller","ATH",2,2,0,2.76633,48,0,22,2,,48,192,33,16,15,5,17,,2,72,13.3861,3.08012,4.34597,0.847201,0.375014,0.0862901,0.28872355818748474,0.187714,1.01472,0.289029,0.770864,,,2.50748,1.52474,1.30907,45.09000015258789,,,,,,,412.90000000000003,8.602083333333335,380,7.916666666666667,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Clarke Schmidt","NYY",6,6,9,4.04894,23,19,0,0,,105,446,97,51,47,15,36,,6,104,8.87581,3.11795,2.84668,1.24894,0.232919,0.0818211,0.15109755098819733,0.240118,1.26608,0.288678,0.725021,,,4.15157,1.51692,1.16844,249.11000061035156,,,,,,,422.3,4.021904761904762,412,3.9238095238095236,,,,,,,,,,,,,,,,,,,"Clarke Schmidt","19899",657376
"Matthew Boyd","CHC",7,6,9,3.94745,23,19,0,0,,105,443,97,50,46,14,34,,5,106,9.03922,2.92535,3.08996,1.17762,0.239258,0.0774308,0.1618269681930542,0.239842,1.24319,0.292359,0.723059,,,3.9088,1.49985,1.28963,323.04998779296875,,,,,,,447.59999999999997,4.2628571428571425,438,4.171428571428572,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Brandon Pfaadt","ARI",8,7,9,4.06187,29,20,0,0,,120,500,117,59,54,17,28,,5,118,8.82029,2.12945,4.14206,1.3009,0.235797,0.0569274,0.17886925861239433,0.25051,1.20903,0.300261,0.713707,,,3.85006,1.49496,1.50516,178.5399932861328,,,,,,,511.7,4.264166666666666,516,4.3,,,,,,,,,,,,,,,,,,,"Brandon Pfaadt","27782",694297
"José Soriano","LAA",6,7,10,3.88864,19,19,0,0,,106,455,96,50,46,10,45,,7,95,8.09604,3.79871,2.13126,0.843644,0.209058,0.0980911,0.11096663773059845,0.237704,1.32949,0.288117,0.717583,,,3.98357,1.48053,1.47137,324.3900146484375,,,,,,,445.80000000000007,4.205660377358491,434,4.09433962264151,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Shota Imanaga","CHC",8,5,10,3.78187,19,19,0,0,,113,460,103,51,47,18,26,,3,108,8.6433,2.10732,4.10155,1.43012,0.235104,0.0573207,0.17778312414884567,0.238757,1.14684,0.278829,0.746549,,,4.03905,1.44797,1.7399,78.08999633789062,,,,,,,476.00000000000006,4.212389380530974,460,4.070796460176991,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"David Peterson","NYM",7,5,10,3.83479,19,19,0,0,,105,453,101,49,45,11,41,,5,98,8.33422,3.46316,2.40654,0.922318,0.215504,0.0895494,0.1259545385837555,0.247418,1.3412,0.300992,0.733106,,,3.88214,1.38547,1.3878,326.9200134277344,,,,,,,437.1,4.162857142857143,440,4.190476190476191,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Blake Snell","LAD",5,3,7,3.51908,13,13,0,0,,71,295,54,30,28,8,32,,2,88,11.1417,4.08501,2.72747,1.00443,0.298125,0.109305,0.1888202428817749,0.20777,1.21707,0.280415,0.746645,,,3.52048,1.3784,1.34792,44.5099983215332,,,,,,,360.6,5.07887323943662,325,4.577464788732394,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Gavin Williams","CLE",6,6,10,4.05881,20,20,0,0,,106,449,93,52,48,13,44,,4,110,9.33185,3.70425,2.51923,1.10477,0.244479,0.0970452,0.14743352681398392,0.23194,1.29035,0.287552,0.715385,,,3.98676,1.35792,1.10483,195.02999877929688,,,,,,,458.7000000000001,4.327358490566039,437,4.122641509433962,,,,,,,,,,,,,,,,,,,"Gavin Williams","30122",668909
