"Name","Team","Season","PA","BBE","Damage/BBE (%)","90th Pctile EV","Max EV","Pulled FB (%)","SEAGER","Selectivity (%)","Hittable Pitch Take (%)","Chase (%)","Z-Contact (%)","Whiff vs. Secondaries (%)","Contact Over Expected (%)"
"Steven Kwan","CLE","2025","193","157","2.5","99.2","104.1","8.3","6.5","51.2","44.7","30","96.7","12.7","10.7"
"Jacob Wilson","OAK","2025","179","161","5","99.3","108.5","6.8","1.4","42.1","40.7","37.8","93.1","13.5","11.1"
"Ben Rortvedt","TB","2025","55","39","2.6","99.3","103","12.8","3.4","47.7","44.3","24.2","87.9","25.6","-0.8"
"Taylor Walls","TB","2025","122","81","1.2","99.3","102.8","4.9","7","48.2","41.2","26.4","90.5","16.5","-2.3"
"Abraham Toro","BOS","2025","18","15","13.3","99.4","102.7","33.3","-2.7","42.1","44.8","42.5","90.5","23.8","5.1"
"Kevin Pillar","TEX","2025","38","32","6.2","99.4","104.7","12.5","-13.9","34.4","48.3","45.7","84.8","23.7","3.9"
"Tsung-Che Cheng","PIT","2025","7","4","0","99.4","100.6","0","-22.2","27.8","50","46.2","87.5","37.5","-3.9"
"Tyler Tolbert","KC","2025","5","3","33.3","99.5","102.8","0","-12.1","30.8","42.9","57.1","100","33.3","-2.7"
"Ozzie Albies","ATL","2025","194","148","9.5","99.5","106.8","16.2","11.6","45.1","33.5","40","89.5","19.5","-0.3"
"Santiago Espinal","CIN","2025","131","109","7.3","99.5","105.5","7.3","11","49.7","38.7","31.4","91","19","4.1"
"Yuli Gurriel","SD","2025","40","28","7.1","99.5","107.9","3.6","2.9","47.8","44.9","41.9","93.5","22.2","8"
"Xavier Edwards","MIA","2025","194","141","0.7","99.5","109","4.3","6.4","46.9","40.5","30","91.8","12.2","7.4"
"Aaron Schunk","COL","2025","21","16","0","99.5","100.6","6.2","-14.1","31.7","45.8","56.1","87","30.8","4.6"
"Emmanuel Rivera","BAL","2025","36","26","3.8","99.6","101","0","15.7","47.2","31.5","37.1","84.4","45.5","-4.9"
"Tyler Callihan","CIN","2025","6","5","20","99.8","100.2","0","5","46.7","41.7","18.2","87.5","0","2.5"
"Tim Anderson","LAA","2025","81","50","6","99.8","103.9","0","-4.8","37.9","42.7","37.5","78.5","46.5","-9.5"
"Victor Robles","SEA","2025","46","38","5.3","99.8","112.6","7.9","1.5","39.4","37.9","44.7","90.6","28.6","-0.9"
"Nick Allen","ATL","2025","129","88","3.4","99.8","104.4","4.5","8.8","46.2","37.4","32.1","86.8","23.8","-2.2"
"Nick Sogard","BOS","2025","22","18","16.7","99.9","105.6","16.7","2.3","49","46.7","18.4","95.7","26.7","1.4"
"Javier Sanoja","MIA","2025","98","76","10.5","99.9","104.5","7.9","5.1","49.6","44.5","35.3","95.5","15.3","9.5"
"Cavan Biggio","KC","2025","73","46","13","100","103.9","19.6","9.6","52.8","43.2","18.9","87.5","38.6","-4.1"
"Wilmer Flores","SF","2025","171","127","12.6","100","106.8","15.7","13.5","50.5","37","30.6","88.8","27.5","1.9"
"Sal Frelick","MIL","2025","164","128","7","100","106.6","8.6","4.9","49.4","44.5","28.3","93.1","15.5","4.5"
"Daz Cameron","MIL","2025","18","8","0","100","108.5","12.5","11.1","41.7","30.6","30.8","83.9","27.6","-7.4"
"Will Wilson","CLE","2025","26","14","21.4","100.1","102.1","0","37.3","48.2","10.9","44","77.4","65.4","-16.3"
"Vinny Capra","MIL","2025","59","41","2.4","100.1","103.9","7.3","8.2","47.7","39.5","29.9","85.5","39.3","-8.1"
"DJ LeMahieu","NYY","2025","5","3","0","100.1","100.3","0","35.7","50","14.3","53.8","83.3","50","-2.8"
"Kris Bryant","COL","2025","41","26","11.5","100.2","102.9","11.5","0.3","42.5","42.2","29","80.7","51.2","-14"
"Alex Call","WSH","2025","114","79","11.4","100.2","107.9","3.8","8.9","54.5","45.6","23.4","95","19","3.8"
"Alan Trejo","COL","2025","43","35","11.4","100.2","103.4","11.4","4.2","39.6","35.4","39.7","80.8","30.4","-2.8"
"Myles Straw","TOR","2025","80","64","9.4","100.2","105.8","4.7","2.4","47.5","45.1","32.9","93.9","16.7","4.7"
"Danny Jansen","TB","2025","113","71","7","100.2","106.7","19.7","26.4","56.5","30.1","22.5","86.3","22.4","0.5"
