#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
263,Daniel Schneemann,L,CLE,2B/SS/ OF,2B/SS/ 3B/OF,5/21,3,-12.7,@MIN,CPaddack(R),100,Y(6),3.6,3.2,0.70,0.36,0.08,0.37,0.04,0.32,1.01,0.215,0.287,0.346,0.633,42,682177
264,Freddy Fermin,R,KC,C,C,5/21,3,-12.9,@SF,LWebb(R),100,Y(7),3.8,3.6,0.88,0.33,0.06,0.33,0.02,0.19,0.83,0.243,0.284,0.338,0.622,2,666023
265,DaShawn Keirsey Jr.,L,MIN,OF,OF,5/21,3,-13.1,CLE,GWilliams(R),100,Y(8),3.2,2.9,0.62,0.30,0.05,0.28,0.14,0.22,0.94,0.214,0.275,0.327,0.602,0,680577
266,Cody Bellinger,L,NYY,1B/OF,1B/OF,5/21,7,-13.2,TEX,JdeGrom(R),100,Y(4),3.8,3.5,0.71,0.29,0.12,0.35,0.07,0.26,0.94,0.202,0.259,0.349,0.608,100,15998
267,Alex Call,R,WSH,OF,OF,5/21,6,-13.2,ATL,ASmith-Shawver(R),100,Y(8),3.5,3.0,0.60,0.38,0.08,0.32,0.07,0.48,0.76,0.201,0.318,0.328,0.646,0,669743
268,Curtis Mead,R,TB,2B,2B/3B,5/21,1,-13.5,HOU,HBrown(R),100,Y(8),3.1,2.8,0.66,0.31,0.06,0.30,0.06,0.20,0.73,0.235,0.296,0.349,0.645,0,678554
269,Mark Canha,R,KC,1B/OF,1B/OF,5/21,3,-14.3,@SF,LWebb(R),100,Y(5),3.4,3.1,0.75,0.29,0.04,0.29,0.07,0.20,0.73,0.245,0.307,0.332,0.639,0,11445
270,Patrick Bailey,S,SF,C,C,5/21,3,-15.1,KC,DLynch IV(L),100,Y(8),3.5,3.2,0.71,0.37,0.06,0.34,0.02,0.28,0.86,0.224,0.289,0.332,0.621,7,672275
271,Brendan Rodgers,R,HOU,2B,2B,5/21,1,-15.2,@TB,TBradley(R),100,Y(8),3.8,3.5,0.77,0.36,0.08,0.33,0.01,0.23,1.10,0.220,0.272,0.340,0.612,1,663898
272,Carlos Narvaez,R,BOS,C,C,5/21,6,-15.2,NYM,TMegill(R),100,Y(8),3.5,3.1,0.64,0.38,0.06,0.34,0.04,0.40,1.07,0.209,0.307,0.322,0.629,3,665966
273,Ben Rice,L,NYY,1B,1B,5/21,7,-16.5,TEX,JdeGrom(R),100,Y(2),4.0,3.6,0.65,0.37,0.15,0.31,0.04,0.33,1.27,0.178,0.253,0.341,0.594,99,700250
274,Tyrone Taylor,R,NYM,OF,OF,5/21,6,-17.7,@BOS,GCrochet(L),100,Y(7),3.4,3.1,0.65,0.28,0.06,0.29,0.10,0.17,1.05,0.205,0.253,0.333,0.586,0,621438
275,Kameron Misner,L,TB,OF,OF,5/21,1,-18.4,HOU,HBrown(R),100,Y(7),3.4,3.0,0.54,0.31,0.08,0.31,0.09,0.35,1.34,0.181,0.272,0.306,0.578,14,670224
276,Robert Hassell III,L,WSH,OF,OF,5/21,6,-18.8,ATL,ASmith-Shawver(R),100,Y(7),3.6,3.3,0.65,0.31,0.05,0.30,0.08,0.31,0.95,0.200,0.273,0.294,0.567,0,690987
277,Trent Grisham,L,NYY,OF,OF,5/21,7,-19.1,TEX,JdeGrom(R),100,Y(1),4.2,3.7,0.63,0.38,0.14,0.29,0.05,0.39,1.34,0.171,0.254,0.321,0.575,100,663757
278,Ben Rortvedt,L,TB,C,C,5/21,1,-19.1,HOU,HBrown(R),100,Y(9),3.4,3.0,0.59,0.35,0.07,0.31,0.02,0.34,1.00,0.197,0.283,0.308,0.591,0,666163
279,Jonah Bride,R,MIN,1B/3B,1B/3B,5/21,3,-19.1,CLE,GWilliams(R),100,Y(5),3.8,3.2,0.64,0.35,0.07,0.33,0.02,0.49,0.96,0.201,0.316,0.312,0.628,0,681146
280,Christian Vazquez,R,MIN,C,C,5/21,3,-19.7,CLE,GWilliams(R),100,Y(9),3.3,3.1,0.65,0.32,0.05,0.29,0.04,0.21,0.77,0.212,0.266,0.308,0.574,0,9774
281,Anthony Volpe,R,NYY,SS,SS,5/21,7,-19.9,TEX,JdeGrom(R),100,Y(6),3.6,3.3,0.62,0.25,0.08,0.26,0.13,0.25,1.05,0.189,0.249,0.310,0.559,100,683011
282,Jose Herrera,S,ARI,C,C,5/21,10,-20.1,@LAD,DMay(R),31,N(9),3.3,3.0,0.62,0.34,0.06,0.27,0.03,0.31,0.84,0.209,0.288,0.307,0.595,0,645444
283,Luis Torrens,R,NYM,C,C,5/21,6,-20.6,@BOS,GCrochet(L),100,Y(6),3.9,3.6,0.72,0.31,0.07,0.32,0.03,0.26,1.26,0.202,0.259,0.316,0.575,0,620443
284,Jasson Dominguez,S,NYY,OF,OF,5/21,7,-20.6,TEX,JdeGrom(R),100,Y(5),3.7,3.3,0.61,0.26,0.10,0.28,0.09,0.32,1.23,0.182,0.254,0.307,0.561,99,691176
285,Austin Wells,L,NYY,C,C,5/21,7,-23.7,TEX,JdeGrom(R),100,Y(7),3.5,3.2,0.56,0.27,0.11,0.27,0.03,0.27,1.00,0.178,0.249,0.327,0.576,98,669224
286,Martin Maldonado,R,SD,C,C,5/21,7,-23.9,@TOR,KGausman(R),100,Y(9),3.2,3.0,0.51,0.30,0.09,0.28,0.04,0.16,1.14,0.172,0.219,0.291,0.510,0,6887
287,DJ LeMahieu,R,NYY,1B/3B,1B/3B,5/21,7,-25.4,TEX,JdeGrom(R),100,Y(8),3.4,3.1,0.63,0.26,0.06,0.23,0.02,0.27,0.82,0.206,0.272,0.301,0.573,1,9874
288,Austin Hedges,R,CLE,C,C,5/21,3,-25.4,@MIN,CPaddack(R),100,Y(9),3.1,2.8,0.50,0.29,0.06,0.27,0.03,0.17,0.93,0.177,0.230,0.274,0.504,0,12976
289,Jorbit Vivas,L,NYY,2B,2B,5/21,7,-28.8,TEX,JdeGrom(R),100,Y(9),2.8,2.5,0.46,0.22,0.04,0.18,0.06,0.21,0.64,0.186,0.259,0.277,0.536,0,678391
290,Brett Baty,L,NYM,2B/3B,2B/3B,5/21,6,-31.1,@BOS,GCrochet(L),100,Y(9),2.8,2.6,0.47,0.23,0.04,0.20,0.02,0.17,1.00,0.185,0.240,0.265,0.505,24,683146
