#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
178,Nolan Schanuel,L,LAA,1B,1B,5/21,10,-1.0,@ATH,JSears(L),93,N(2),4.5,3.9,0.96,0.52,0.08,0.36,0.06,0.44,0.71,0.246,0.329,0.354,0.683,38,694384
179,Eli White,R,ATL,OF,OF,5/21,6,-1.1,@WSH,TWilliams(R),100,Y(7),4.1,3.7,0.85,0.41,0.08,0.40,0.14,0.29,1.03,0.232,0.295,0.350,0.645,16,642201
180,JJ Bleday,L,ATH,OF,OF,5/21,10,-1.3,LAA,JKochanowicz(R),91,N(8),3.5,3.1,0.74,0.46,0.10,0.42,0.04,0.40,0.57,0.239,0.329,0.404,0.733,87,668709
181,Addison Barger,L,TOR,3B/OF,3B/OF,5/21,7,-1.4,SD,RVasquez(R),100,Y(7),3.4,3.0,0.74,0.42,0.10,0.43,0.03,0.31,0.69,0.248,0.325,0.418,0.743,64,680718
182,Spencer Torkelson,R,DET,1B,1B,5/21,1,-1.5,@STL,APallante(R),100,Y(5),4.2,3.7,0.84,0.45,0.13,0.48,0.01,0.42,0.99,0.226,0.309,0.379,0.688,100,679529
183,Jake Bauers,L,MIL,1B,1B/OF,5/21,1,-1.6,BAL,TSugano(R),100,Y(7),3.3,3.0,0.64,0.40,0.13,0.42,0.08,0.29,1.03,0.217,0.290,0.404,0.694,0,641343
184,Angel Martinez,S,CLE,OF,3B/OF,5/21,3,-1.6,@MIN,CPaddack(R),100,Y(2),4.5,4.1,0.97,0.51,0.07,0.41,0.07,0.26,0.95,0.235,0.286,0.354,0.640,2,682657
185,Royce Lewis,R,MIN,3B,3B,5/21,3,-1.8,CLE,GWilliams(R),100,Y(3),4.0,3.6,0.79,0.42,0.14,0.47,0.04,0.37,1.02,0.221,0.296,0.386,0.682,100,668904
186,Heston Kjerstad,L,BAL,OF,OF,5/21,1,-1.9,@MIL,CPatrick(R),100,Y(8),3.2,2.9,0.70,0.42,0.13,0.41,0.02,0.20,0.87,0.239,0.299,0.427,0.726,32,677008
187,Nick Kurtz,L,ATH,1B,1B,5/21,10,-1.9,LAA,JKochanowicz(R),92,N(6),3.6,3.3,0.79,0.44,0.10,0.43,0.03,0.28,0.85,0.241,0.304,0.394,0.698,97,701762
188,Javier Baez,R,DET,SS/3B/ OF,SS/3B/ OF,5/21,1,-2.2,@STL,APallante(R),100,Y(9),3.8,3.6,0.86,0.42,0.09,0.40,0.08,0.15,0.77,0.241,0.278,0.360,0.638,100,12979
189,Alek Thomas,L,ARI,OF,OF,5/21,10,-2.2,@LAD,DMay(R),91,N(8),3.9,3.6,0.84,0.40,0.11,0.39,0.09,0.24,0.86,0.233,0.285,0.376,0.661,8,677950
190,Nick Allen,R,ATL,SS,SS,5/21,6,-2.5,@WSH,TWilliams(R),100,Y(9),3.8,3.5,0.87,0.43,0.05,0.36,0.11,0.27,0.64,0.248,0.305,0.342,0.647,0,669397
191,Jordan Lawlar,R,ARI,SS,SS,5/21,10,-2.5,@LAD,DMay(R),19,N(9),3.8,3.5,0.76,0.42,0.10,0.37,0.13,0.30,1.13,0.221,0.292,0.356,0.648,51,691783
192,Derek Hill,R,MIA,OF,OF,5/21,1,-2.8,CHC,CHorton(R),100,Y(9),3.3,3.0,0.73,0.41,0.07,0.37,0.11,0.20,0.92,0.239,0.291,0.374,0.665,0,656537
193,Joey Ortiz,R,MIL,SS/3B,2B/SS/ 3B,5/21,1,-2.9,BAL,TSugano(R),100,Y(9),3.2,2.9,0.73,0.41,0.07,0.36,0.08,0.21,0.56,0.251,0.306,0.393,0.699,14,687401
194,Alexander Canario,R,PIT,OF,OF,5/21,-12,-3.0,CIN,BSinger(R),100,Y(5),3.9,3.5,0.78,0.41,0.14,0.48,0.02,0.28,1.10,0.219,0.282,0.386,0.668,2,672744
195,Dylan Carlson,S,BAL,OF,OF,5/21,1,-3.1,@MIL,CPatrick(R),100,Y(9),3.6,3.2,0.74,0.47,0.10,0.40,0.05,0.32,0.95,0.229,0.306,0.375,0.681,0,666185
196,Randal Grichuk,R,ARI,OF,OF,5/21,10,-3.2,@LAD,DMay(R),19,N(6),3.9,3.6,0.83,0.40,0.14,0.43,0.02,0.21,0.95,0.231,0.281,0.395,0.676,0,10243
197,Nolan Gorman,L,STL,2B,2B,5/21,1,-3.3,DET,BHurter(L),100,Y(7),3.6,3.3,0.70,0.41,0.15,0.44,0.03,0.27,1.08,0.212,0.274,0.383,0.657,1,669357
198,Jonah Heim,S,TEX,C,C,5/21,7,-3.7,@NYY,RYarbrough(L),100,Y(6),4.0,3.7,0.84,0.43,0.11,0.45,0.02,0.26,0.71,0.228,0.282,0.362,0.644,91,16930
199,Kristian Campbell,R,BOS,2B,2B,5/21,6,-4.0,NYM,TMegill(R),100,Y(5),3.9,3.4,0.79,0.40,0.07,0.42,0.08,0.44,1.04,0.236,0.331,0.363,0.694,99,692225
200,Trey Sweeney,L,DET,SS,SS,5/21,1,-4.0,@STL,APallante(R),100,Y(8),3.9,3.5,0.82,0.42,0.08,0.39,0.08,0.31,0.86,0.234,0.299,0.350,0.649,19,700242
201,Keibert Ruiz,S,WSH,C,C,5/21,6,-4.1,ATL,ASmith-Shawver(R),100,Y(4),4.0,3.7,0.84,0.38,0.11,0.47,0.03,0.24,0.50,0.231,0.285,0.369,0.654,96,660688
202,Nathaniel Lowe,L,WSH,1B,1B,5/21,6,-4.1,ATL,ASmith-Shawver(R),100,Y(3),4.1,3.5,0.78,0.45,0.11,0.45,0.02,0.53,0.99,0.225,0.330,0.371,0.701,99,663993
203,Jonathan Aranda,L,TB,1B,1B,5/21,1,-4.1,HOU,HBrown(R),100,Y(4),3.9,3.5,0.79,0.41,0.12,0.47,0.01,0.41,1.18,0.227,0.315,0.376,0.691,100,666018
204,Matt Mervis,L,MIA,1B,1B,5/21,1,-4.2,CHC,CHorton(R),100,Y(7),3.3,2.9,0.65,0.40,0.13,0.42,0.02,0.31,0.91,0.226,0.306,0.415,0.721,3,670223
205,Miguel Amaya,R,CHC,C,C,5/21,1,-4.5,@MIA,MMeyer(R),100,Y(8),3.9,3.6,0.88,0.43,0.09,0.41,0.02,0.25,0.84,0.245,0.304,0.383,0.687,28,665804
206,Travis d’Arnaud,R,LAA,C,C,5/21,10,-4.7,@ATH,JSears(L),15,N(6),4.0,3.6,0.81,0.41,0.14,0.43,0.02,0.23,0.97,0.222,0.278,0.386,0.664,1,7739
207,Brooks Lee,S,MIN,SS/3B,2B/SS/ 3B,5/21,3,-4.7,CLE,GWilliams(R),100,Y(2),4.1,3.7,0.87,0.46,0.10,0.38,0.04,0.32,0.76,0.233,0.295,0.371,0.666,38,686797
208,Hyeseong Kim,L,LAD,2B,2B,5/21,10,-4.8,ARI,CBurnes(R),68,N(9),3.0,2.8,0.63,0.31,0.08,0.28,0.22,0.15,0.78,0.222,0.268,0.353,0.621,83,808975
209,Max Schuemann,R,ATH,SS/3B,2B/SS/ 3B/OF,5/21,10,-5.7,LAA,JKochanowicz(R),19,N(8),3.5,3.1,0.74,0.42,0.04,0.33,0.12,0.31,0.71,0.238,0.321,0.335,0.656,0,680474
210,Kyle Higashioka,R,TEX,C,C,5/21,7,-5.8,@NYY,RYarbrough(L),100,Y(8),3.5,3.2,0.70,0.41,0.13,0.42,0.02,0.18,0.81,0.219,0.262,0.384,0.646,2,5517
211,Kyle Isbel,L,KC,OF,OF,5/21,3,-5.9,@SF,LWebb(R),100,Y(9),3.6,3.4,0.81,0.37,0.06,0.34,0.13,0.16,0.81,0.238,0.277,0.355,0.632,0,664728
212,Justyn-Henry Malloy,R,DET,OF,OF,5/21,1,-5.9,@STL,APallante(R),100,Y(2),4.0,3.4,0.81,0.49,0.08,0.35,0.03,0.49,1.01,0.237,0.336,0.349,0.685,0,669234
213,Ke’Bryan Hayes,R,PIT,3B,3B,5/21,-12,-6.0,CIN,BSinger(R),100,Y(6),3.8,3.5,0.86,0.38,0.07,0.39,0.05,0.24,0.73,0.248,0.301,0.368,0.669,9,663647
214,Juan Soto,L,NYM,OF,OF,5/21,6,-6.0,@BOS,GCrochet(L),100,Y(3),4.3,3.5,0.79,0.43,0.09,0.39,0.07,0.65,1.03,0.223,0.345,0.352,0.697,100,665742
215,Luis Urias,R,ATH,2B/3B,2B/3B,5/21,10,-6.2,LAA,JKochanowicz(R),92,N(7),3.6,3.1,0.74,0.43,0.08,0.38,0.03,0.33,0.56,0.238,0.329,0.363,0.692,39,649966
216,Ben Williamson,R,SEA,3B,3B,5/21,2,-6.3,@CHW,SSmith(R),100,Y(9),3.9,3.5,0.86,0.42,0.06,0.36,0.07,0.25,0.88,0.242,0.300,0.340,0.640,0,810938
217,Jake Meyers,R,HOU,OF,OF,5/21,1,-6.5,@TB,TBradley(R),100,Y(6),4.0,3.7,0.84,0.38,0.10,0.38,0.06,0.29,1.04,0.230,0.292,0.365,0.657,75,676694
218,Carlos Santana,S,CLE,1B,1B,5/21,3,-6.6,@MIN,CPaddack(R),100,Y(5),4.1,3.7,0.78,0.43,0.11,0.45,0.02,0.42,0.86,0.215,0.298,0.351,0.649,6,2396
219,Gio Urshela,R,ATH,3B,1B/3B,5/21,10,-6.6,LAA,JKochanowicz(R),25,N(9),3.1,2.9,0.82,0.38,0.05,0.34,0.01,0.15,0.37,0.280,0.320,0.383,0.703,0,10681
220,Dillon Dingler,R,DET,C,C,5/21,1,-6.6,@STL,APallante(R),100,Y(7),4.0,3.7,0.87,0.40,0.09,0.41,0.03,0.22,0.98,0.236,0.286,0.360,0.646,73,693307
221,Drew Waters,S,KC,OF,OF,5/21,3,-6.7,@SF,LWebb(R),100,Y(6),4.0,3.7,0.83,0.34,0.06,0.34,0.17,0.23,1.22,0.226,0.277,0.338,0.615,0,671221
222,Max Muncy,L,LAD,3B,1B/3B,5/21,10,-7.1,ARI,CBurnes(R),91,N(5),3.8,3.2,0.64,0.40,0.15,0.40,0.04,0.52,1.09,0.197,0.314,0.381,0.695,74,13301
223,Trevor Story,R,BOS,SS,SS,5/21,6,-7.2,NYM,TMegill(R),100,Y(7),3.7,3.3,0.70,0.35,0.07,0.38,0.14,0.29,1.14,0.212,0.281,0.334,0.615,96,12564
224,Mike Yastrzemski,L,SF,OF,OF,5/21,3,-7.2,KC,DLynch IV(L),100,Y(6),3.7,3.3,0.72,0.40,0.09,0.40,0.05,0.36,0.91,0.220,0.302,0.368,0.670,83,573262
225,Jake Cronenworth,L,SD,1B/2B,1B/2B,5/21,7,-7.2,@TOR,KGausman(R),100,Y(7),3.9,3.5,0.81,0.39,0.09,0.37,0.06,0.32,0.81,0.232,0.302,0.376,0.678,93,630105
226,Graham Pauley,L,MIA,3B,1B/3B,5/21,1,-7.4,CHC,CHorton(R),100,Y(8),3.1,2.8,0.67,0.39,0.09,0.36,0.04,0.26,0.70,0.237,0.305,0.393,0.698,0,688363
227,Mauricio Dubon,R,HOU,1B/2B/ OF,1B/2B/ SS/3B/OF,5/21,1,-7.7,@TB,TBradley(R),100,Y(9),3.7,3.5,0.90,0.38,0.06,0.34,0.03,0.16,0.54,0.259,0.293,0.365,0.658,0,643289
228,Pavin Smith,L,ARI,1B/OF,1B/OF,5/21,10,-7.8,@LAD,DMay(R),91,N(6),3.7,3.2,0.72,0.38,0.12,0.38,0.03,0.43,0.98,0.224,0.316,0.378,0.694,81,656976
