"Name","Team","Season","PA","BBE","Damage/BBE (%)","90th Pctile EV","Max EV","Pulled FB (%)","SEAGER","Selectivity (%)","Hittable Pitch Take (%)","Chase (%)","Z-Contact (%)","Whiff vs. Secondaries (%)","Contact Over Expected (%)"
"Jake Mangum","TB","2025","74","61","9.8","101.6","106.4","1.6","15.8","41.5","25.7","45","92.6","19.8","8"
"Miles Mastrobuoni","SEA","2025","90","68","8.8","101.6","107.2","2.9","-2.7","46.3","49","24.6","87.3","24.6","2.6"
"Jeff McNeil","NYM","2025","53","39","7.7","101.6","105.1","5.1","12.1","44.4","32.3","33.6","97.2","17","8.7"
"Jorge Mateo","BAL","2025","35","20","25","101.7","104","0","8.2","46.9","38.7","51.8","84.8","52.4","-8.3"
"Jonatan Clase","TOR","2025","22","15","20","101.7","105.1","6.7","-23.1","34","57.1","38.6","82.6","36.8","-7.8"
"Jose Caballero","TB","2025","109","64","12.5","101.7","106.2","7.8","18.4","55.6","37.2","29.4","86.3","24.7","-2.2"
"Josh Lowe","TB","2025","11","10","10","101.7","105.7","10","-4.2","37.9","42.1","45.8","87.5","18.8","7.5"
"Gage Workman","CHC","2025","15","8","25","101.8","105.6","0","25.8","46.9","21.1","37.5","73.3","66.7","-29.1"
"MJ Melendez","KC","2025","53","27","22.2","101.8","108.5","22.2","12.9","50.3","37.4","31.3","67.7","44.4","-19.6"
"Pavin Smith","ARI","2025","133","68","16.2","101.8","109.3","7.4","17.6","58.4","40.8","23.5","74.8","44.1","-12.8"
"Jason Heyward","SD","2025","85","61","11.5","101.8","108.9","14.8","5.6","47.4","41.8","38.1","89.2","39","-2.4"
"Moises Ballesteros","CHC","2025","9","8","0","101.8","107.5","0","14.3","47.6","33.3","40","57.1","0","-4.6"
"J.D. Davis","LAA","2025","10","6","16.7","101.9","102.9","0","-15.8","30.4","46.2","43.8","68.8","27.3","-19.1"
"Nick Martini","COL","2025","87","70","12.9","101.9","105.6","7.1","11.5","49.8","38.3","29","88.5","21.7","1"
"Royce Lewis","MIN","2025","34","26","11.5","101.9","106.4","3.8","19.4","54.2","34.8","29.3","83.3","25","-4.2"
"Tim Elko","CWS","2025","15","10","0","101.9","106.6","10","-1.6","42.4","44","34.5","81.2","28.6","-6.3"
"Korey Lee","CWS","2025","18","12","16.7","102","103.2","0","20.6","58.1","37.5","27.9","80","28.6","-0.9"
"Oswaldo Cabrera","NYY","2025","122","84","11.9","102","107.5","4.8","11.3","48.3","37","31.8","80.5","25.5","-3.2"
"Tyler Stephenson","CIN","2025","48","22","27.3","102.1","103.8","18.2","8.6","51.1","42.5","27.7","78.6","42.6","-14"
"Sam Haggerty","TEX","2025","11","9","22.2","102.1","103.1","0","-35.6","20","55.6","27.3","71.4","40","-20.3"
"Jonathan India","KC","2025","184","134","17.2","102.1","107.2","12.7","10.6","52.3","41.7","27.9","89.1","21","-0.1"
"Spencer Steer","CIN","2025","164","110","16.4","102.1","106.5","12.7","11.8","46.4","34.6","31.5","84.8","33.1","-9.2"
"Tomas Nido","DET","2025","34","23","13","102.1","105.3","4.3","17.8","44.9","27.1","41.8","86.8","33.3","-3.8"
"Jose Barrero","STL","2025","17","10","10","102.1","104.7","30","-7.1","40","47.1","42.9","87.5","36.4","-2.6"
"Zac Veen","COL","2025","37","20","10","102.1","109.2","15","12.6","38.9","26.3","41.4","66","29.6","-21.9"
"Travis Jankowski","CWS","2025","15","12","8.3","102.1","107.2","0","-8.1","40","48.1","26.1","85","55.6","-4.1"
"TJ Friedl","CIN","2025","187","132","5.3","102.1","106.9","9.8","15.5","54.6","39.1","24.1","92.2","30","0.3"
"Sean Bouchard","COL","2025","72","38","15.8","102.2","107.4","5.3","11.6","51.1","39.5","26.4","80.5","42.4","-14.9"
"Nathan Lukes","TOR","2025","81","57","15.8","102.2","104.8","5.3","6.9","50.3","43.4","32.8","88.5","18.2","7.4"
"Angel Martinez","CLE","2025","103","81","14.8","102.2","107.4","8.6","-5.9","38.5","44.4","46.7","92.5","19.2","3.9"
"Marcus Semien","TEX","2025","184","123","13.8","102.2","110","8.9","20.1","47.9","27.8","30.3","85.8","31.7","-3.5"
"Matt Gorski","PIT","2025","42","25","12","102.2","115.2","8","8.2","47.8","39.6","44.2","65.9","40","-15.5"
"Josh Smith","TEX","2025","143","105","21","102.3","108.2","4.8","3.3","44.6","41.3","33","91","23","0.2"
"Jonah Bride","MIN","2025","38","26","19.2","102.3","104.5","11.5","9.5","58.1","48.6","26.7","93.3","37.5","-4.3"
"Jose Ramirez","CLE","2025","173","141","14.2","102.3","111.3","16.3","14.4","49.5","35.1","33.9","89.8","19.4","3.4"
"J.P. Crawford","SEA","2025","172","112","13.4","102.3","108.6","10.7","7.8","49.6","41.8","27.2","84.2","20.8","2.3"
"Lane Thomas","CLE","2025","48","32","6.2","102.3","110.6","9.4","15.9","50","34.1","35.4","81.8","29.8","-12.1"
"Eddie Rosario","LAD","2025","4","4","50","102.4","103.3","0","25","50","25","0","100","0","21.8"
"Jung Hoo Lee","SF","2025","187","154","11","102.4","105.4","10.4","14.2","50.6","36.4","30.5","93.8","18.1","7.3"
"Brandon Lockridge","SD","2025","60","46","6.5","102.4","107.8","2.2","-0.2","41","41.2","43.2","86.7","28.1","-2.9"
"Connor Norby","MIA","2025","92","59","25.4","102.5","108.2","11.9","9.1","44.3","35.2","40.4","80.9","45.7","-11.1"
"Luis Urias","OAK","2025","109","81","16","102.5","106.8","9.9","16.6","54.2","37.6","25.6","95.4","12.5","6.3"
"Travis d'Arnaud","LAA","2025","58","37","24.3","102.6","105","5.4","4.3","43","38.7","37.5","76.4","41.4","-9.6"
