Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Christian Yelich","MIL",99,421.361,364.359,92.9829,61.6996,17.2973,1.69273,12.2933,55.8904,49.0451,51.082,2.94622,98.4784,2.58338,2.37476,0.962609,9.28837,17.7052,4.27561,0.255196,0.121231,0.233715,0.518713,0.348831,0.41318,0.336859,0.762011,0.157984,5.7025,0.315241,,0.95099,56.53,7.55538,113.269,0.95099,-0.23,7.587491571903229,-8.596401676535606,1.3532,112.05000305175781,,,,,,,515.3,5.205050505,515.3,5.205050505,,,,,,,,,,,,,,,,,,,"Christian Yelich","11477",592885
"Jonathan Aranda","TBR",80,336.646,295.266,75.6315,46.4299,15.1136,0.776377,13.3116,41.8345,46.6212,33.2325,0.859819,79.3358,4.98183,2.88107,0.284705,6.83673,0.136288,0.0489854,0.256147,0.0987163,0.235665,0.418884,0.338463,0.447842,0.344648,0.786305,0.191695,2.12491,0.30326,,-0.634566,47.2516,8.12335,127.226,-0.634566,0,9.78785103559494,-7.978625297546387,1.34883,318.1600036621094,,,,,,,416,5.2,416,5.2,,,,,,,,,,,,,,,,,,,"Jonathan Aranda","21837",666018
"Ryan Mountcastle","BAL",83,353.185,323.138,87.6291,56.9594,16.1043,1.09259,13.4728,44.6083,47.7205,23.9727,0.904158,77.5593,2.39141,3.34612,0.33701,6.47618,1.95917,0.63953,0.271181,0.0678756,0.219599,0.309088,0.323066,0.452862,0.337404,0.775927,0.18168,3.52003,0.314953,,-0.498283,47.5368,6.48616,120.73,-0.498283,0.32,7.827353447675705,-6.752597987651825,1.32994,227.75,,,,,,,423.1,5.097590361,423.1,5.097590361,,,,,,,,,,,,,,,,,,,"Ryan Mountcastle","18373",663624
"Xavier Edwards","MIA",102,428.039,382.796,103.292,82.6341,16.3512,2.77891,1.52732,50.5223,28.6802,34.949,1.05212,64.9339,1.74631,3.09911,5.4482,7.75184,24.6304,5.64684,0.269834,0.081649,0.151701,0.538224,0.331258,0.339038,0.301233,0.670296,0.0692038,6.47214,0.318576,,1.73675,45.2895,-4.46133,87.1298,1.73675,-1.44,-4.80227255821228,3.2081480026245117,1.31577,139.80999755859375,,,,,,,417.8,4.096078431,417.8,4.096078431,,,,,,,,,,,,,,,,,,,"Xavier Edwards","22266",669364
"Brandon Marsh","PHI",80,344.249,301.331,73.0523,47.6006,14.0608,2.23637,9.15451,45.4663,35.7659,36.9208,1.22166,102.211,2.3006,1.99314,1.70317,4.71682,10.5184,2.47627,0.242432,0.10725,0.296911,0.36122,0.327763,0.395078,0.320611,0.72284,0.152646,6.124,0.332873,,0.446591,41.7331,1.72117,102.157,0.446591,-0.22,1.3281136453151703,-0.23842642456293106,1.30352,309.3299865722656,,,,,,,376.7,4.70875,376.7,4.70875,,,,,,,,,,,,,,,,,,,"Brandon Marsh","20202",669016
"Willi Castro","MIN",97,407.194,364.174,90.2768,61.07,16.9082,2.69234,9.60623,51.7938,39.2074,30.2264,1.25991,94.1423,8.57399,2.74255,1.47748,6.17434,14.0049,3.93108,0.247895,0.0742308,0.231197,0.321071,0.318146,0.388244,0.313024,0.70639,0.140349,6.12095,0.306537,,0.456042,46.905,-0.423007,101.719,0.456042,0.02,1.2518506050109863,-2.24362538382411,1.30257,228.25,,,,,,,432.8,4.46185567,432.8,4.46185567,,,,,,,,,,,,,,,,,,,"Willi Castro","17338",650489
"Andrew Vaughn","CHW",87,371.102,339.078,87.7136,53.0091,17.0685,0.278317,17.3577,44.3073,54.691,24.0525,0.281886,75.0326,4.62321,2.99649,0.352078,7.41859,0.195495,0.0757256,0.258682,0.0648136,0.202188,0.320561,0.313929,0.464235,0.338243,0.778164,0.205552,1.84998,0.281779,,-0.615286,50.1962,7.06308,118.183,-0.615286,-0.07,7.057708740234375,-6.9242885783314705,1.29441,269.1700134277344,,,,,,,449.9,5.171264367,449.9,5.171264367,,,,,,,,,,,,,,,,,,,"Andrew Vaughn","26197",683734
"Jake Burger","TEX",85,363.153,331.469,82.3675,46.0756,15.8386,0.924758,19.5286,48.2398,53.7877,23.3882,0.637293,92.2169,5.53852,2.29697,0.460338,6.54528,1.33697,0.424522,0.248492,0.0644031,0.253934,0.253621,0.306856,0.478602,0.339895,0.785457,0.230109,3.40284,0.283032,,-0.474078,49.5984,7.38925,119.868,-0.474078,-0.93,7.730281591415405,-7.560517489910126,1.27073,108.66000366210938,,,,,,,457.2,5.378823529,457.2,5.378823529,,,,,,,,,,,,,,,,,,,"Jake Burger","22275",669394
"Dillon Dingler","DET",58,225.502,208.252,48.6625,30.7373,10.2961,0.861926,6.7671,24.1842,26.3212,12.065,0.0276759,62.0595,3.39854,1.52299,0.263111,3.40764,1.11333,0.382203,0.233671,0.053503,0.275206,0.194411,0.284702,0.388873,0.296437,0.673576,0.155203,3.77518,0.297238,,-0.285671,22.9989,-3.21111,90.6243,-0.285671,2.87,-2.6898189783096313,7.345308303833008,1.25969,577.3599853515625,,,,,,,213.8,3.686206896,213.8,3.686206896,,,,,,,,,,,,,,,,,,,"Dillon Dingler","27464",693307
"Tyler Soderstrom","ATH",96,395.661,356.269,88.0096,50.5771,18.0587,1.2358,18.138,50.6015,53.1129,32.7571,1.76656,99.4437,3.47134,2.78562,0.377743,7.46599,1.7581,0.506431,0.247032,0.082791,0.251336,0.329404,0.314302,0.457391,0.334795,0.771692,0.210359,3.40591,0.289356,,-0.504761,52.4322,6.4447,116.539,-0.504761,-0.34,6.936172723770142,-8.003465980291367,1.25496,269.05999755859375,,,,,,,472.9,4.926041666,472.9,4.926041666,,,,,,,,,,,,,,,,,,,"Tyler Soderstrom","27467",691016
