Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Starling Marte","NYM",56,243,221,56,40,9,1,6,29,24,15,0,51,5,1,1,,11,3,0.254405,0.0619636,0.210462,0.294416,0.314427,0.384725,0.310129,0.699152,0.13032,6.01555,0.305274,0.10404,0.495005,27.3938,-0.811227,99.236,0.599045,-0.151875,0.37899383902549744,-5.496319264173508,0.310131,457,,,,,,,253.3,4.523214285,253.3,4.523214285,,,,,,,,,,,,,,,,,,,"Starling Marte","9241",516782
"Daniel Schneemann","CLE",58,250,222,48,31,11,1,5,25,22,24,0,68,0,2,1,,5,2,0.215382,0.097423,0.270828,0.359723,0.291869,0.344905,0.285571,0.636773,0.129523,4.46646,0.280774,-0.109958,-0.0509669,23.3204,-5.71838,83.0713,-0.160925,-0.918101,-4.970323815941811,-0.4264346957206726,0.303956,723.2000122070312,,,,,,,207.3,3.574137931,207.3,3.574137931,,,,,,,,,,,,,,,,,,,"Daniel Schneemann","25180",682177
"Jorge Mateo","BAL",20,87,80,18,11,4,1,2,10,9,5,0,22,1,1,1,,7,2,0.22236,0.0586247,0.255186,0.229733,0.273031,0.364148,0.281124,0.637178,0.141787,7.28739,0.278886,0.0356197,0.563283,7.84994,-2.31011,81.3396,0.598903,0.945349,-1.255931794643402,1.2575404942035675,0.301814,698.1599731445312,,,,,,,82.6,4.13,82.6,4.13,,,,,,,,,,,,,,,,,,,"Jorge Mateo","17273",622761
"J.C. Escarra","NYY",32,127,113,24,16,6,0,3,14,13,11,0,26,2,1,0,,1,0,0.216597,0.0888188,0.20232,0.439002,0.297809,0.346109,0.289732,0.643918,0.129511,3.65484,0.255314,-0.0201646,-0.164402,12.2921,-2.48972,84.7341,-0.184567,-0.75281,-2.3922616243362427,1.049967646598816,0.300032,999,,,,,,,107.9,3.371875,107.9,3.371875,,,,,,,,,,,,,,,,,,,"J.C. Escarra","20084",641555
"Oswaldo Cabrera","NYY",25,107,97,23,15,4,0,3,12,11,8,0,24,1,1,1,,2,1,0.234334,0.0755587,0.224957,0.335881,0.295197,0.368023,0.294366,0.66322,0.13369,4.76343,0.282249,0.0295599,0.0152326,10.7439,-1.70123,87.9777,0.0447925,0.407423,-1.4189927875995636,0.7169913351535797,0.296884,531.260009765625,,,,,,,99.6,3.984,99.6,3.984,,,,,,,,,,,,,,,,,,,"Oswaldo Cabrera","21707",665828
"Kyle Teel","CHW",16,65,57,13,9,3,0,1,6,5,7,0,18,0,1,0,,1,0,0.235718,0.104865,0.273319,0.383671,0.317809,0.355333,0.302613,0.673142,0.119615,3.46732,0.313858,0,-0.052293,6.91792,-0.603427,93.2448,-0.052293,-0.0301472,-0.54936533421278,1.2337415963411331,0.294092,999,,,,,,,56.8,3.55,56.8,3.55,,,,,,,,,,,,,,,,,,,"Kyle Teel","sa3022886",691019
"David Fry","CLE",32,138,122,30,18,7,1,4,16,17,12,1,32,3,1,0,,1,0,0.245059,0.0890052,0.233857,0.380597,0.325175,0.418972,0.326952,0.744147,0.173913,4.2114,0.296089,-0.0129431,-0.20071,17.3839,1.383,112.034,-0.213653,0,1.6702094674110413,-3.441666603088379,0.291838,512.1400146484375,,,,,,,156.5,4.890625,156.5,4.890625,,,,,,,,,,,,,,,,,,,"David Fry","24934",681807
"Elias Díaz","SDP",51,202,186,42,28,8,0,5,19,20,14,0,45,1,1,0,,1,0,0.226551,0.0668498,0.220973,0.302525,0.281701,0.360224,0.284853,0.641924,0.133673,2.60412,0.268255,-0.21658,-0.310528,18.7537,-4.74244,82.4517,-0.527108,-1.86086,-4.737882614135742,2.087440013885498,0.28914,481.6700134277344,,,,,,,166.3,3.260784313,166.3,3.260784313,,,,,,,,,,,,,,,,,,,"Elias Diaz","11680",553869
"Liam Hicks","MIA",37,146,126,29,22,6,0,1,13,9,15,0,26,4,1,0,,0,0,0.228372,0.102983,0.180998,0.568976,0.324704,0.305752,0.291041,0.630456,0.0773807,2.16976,0.276596,-0.0109214,-0.280759,14.281,-2.70937,80.2959,-0.29168,-1.09214,-3.7105973064899445,1.570670485496521,0.284321,746.1599731445312,,,,,,,120.2,3.248648648,120.2,3.248648648,,,,,,,,,,,,,,,,,,,"Liam Hicks","29844",689414
"Paul DeJong","WSN",44,190,175,36,22,7,0,7,17,20,11,0,59,3,1,0,,2,1,0.205535,0.0599485,0.31161,0.192383,0.263301,0.36893,0.279096,0.632232,0.163395,3.09499,0.262576,-0.102014,-0.204666,16.7972,-5.34099,75.2756,-0.30668,1.48109,-5.896492034196854,2.268742263317108,0.28364,426.1700134277344,,,,,,,155.7,3.538636363,155.7,3.538636363,,,,,,,,,,,,,,,,,,,"Paul DeJong","18015",657557
"Jurickson Profar","ATL",61,263,229,55,38,11,1,6,33,28,28,0,44,4,2,1,,3,1,0.242292,0.105042,0.168903,0.621908,0.331871,0.371947,0.315997,0.703817,0.129655,4.03986,0.275494,-0.123418,-0.30063,30.9044,0.34891,98.4593,-0.424048,-2.26,-0.9048071503639221,-5.1850011348724365,0.279498,192.1999969482422,,,,,,,271.9,4.457377049,271.9,4.457377049,,,,,,,,,,,,,,,,,,,"Jurickson Profar","10815",595777
"Mark Canha","KCR",36,155,134,33,23,7,0,3,17,13,15,0,30,5,1,0,,2,1,0.247551,0.0980521,0.189996,0.516076,0.344624,0.360637,0.319755,0.705261,0.113087,4.33521,0.297341,-0.0348898,-0.112662,18.7311,0.671059,101.287,-0.147551,-0.347137,0.07979466021060944,-2.584791362285614,0.277102,613.0499877929688,,,,,,,160.3,4.452777777,160.3,4.452777777,,,,,,,,,,,,,,,,,,,"Mark Canha","11445",592192
"Tyler Black","MIL",21,91,79,18,12,3,1,2,11,10,10,0,21,2,0,0,,3,1,0.228769,0.110945,0.227886,0.486842,0.328336,0.376083,0.316324,0.704419,0.147314,6.78238,0.281553,-0.00574364,0.199262,10.7214,0.144504,99.5006,0.193519,0.180712,0.13957618549466133,-0.5053992867469788,0.276946,666.6199951171875,,,,,,,93.9,4.471428571,93.9,4.471428571,,,,,,,,,,,,,,,,,,,"Tyler Black","29949",672012
"Derek Hill","MIA",50,216,199,48,32,9,2,5,23,18,12,0,61,2,2,2,,7,2,0.239053,0.0544019,0.284239,0.191395,0.285614,0.377502,0.291926,0.663116,0.138449,6.23947,0.317289,-0.0046493,0.229768,21.2505,-3.85075,80.8889,0.225118,-0.139479,-4.673913925886154,0.11761969327926636,0.275787,581.030029296875,,,,,,,204,4.08,204,4.08,,,,,,,,,,,,,,,,,,,"Derek Hill","16947",656537
"Randal Grichuk","ARI",44,192,178,44,27,10,1,6,22,24,11,0,41,2,1,0,,1,0,0.24869,0.0582707,0.214273,0.271946,0.29828,0.42017,0.313993,0.718449,0.17148,3.52394,0.288618,-0.0418136,-0.273668,22.2777,-0.0513251,96.6738,-0.315482,-0.061815,-1.0739571452140808,-2.6979260183870792,0.274412,575.7000122070312,,,,,,,200.4,4.554545454,200.4,4.554545454,,,,,,,,,,,,,,,,,,,"Randal Grichuk","10243",545341
"Henry Davis","PIT",20,79,70,16,10,4,0,2,9,8,7,0,20,2,1,0,,1,1,0.236329,0.0888022,0.251479,0.353119,0.324,0.397258,0.320773,0.721258,0.160929,4.26617,0.294372,-0.0054815,-0.0884373,9.6412,0.407407,100.266,-0.0939188,-0.936645,-0.06880548223853111,0.16474395990371704,0.271439,541.4000244140625,,,,,,,76.1,3.805,76.1,3.805,,,,,,,,,,,,,,,,,,,"Henry Davis","29617",680779
"Eli White","ATL",39,167,150,34,23,6,1,4,21,17,14,0,48,2,1,0,,7,2,0.225985,0.0818954,0.288943,0.283431,0.298226,0.35898,0.293818,0.657205,0.132995,6.42652,0.30226,0.00436461,0.373857,16.6675,-2.72344,83.5884,0.378222,1.38224,-2.8717425763607025,-0.11637330055236816,0.268039,750.8099975585938,,,,,,,156.8,4.02051282,156.8,4.02051282,,,,,,,,,,,,,,,,,,,"Eli White","19346",642201
"Alexander Canario","PIT",48,207,189,42,23,10,1,9,22,27,16,0,63,1,2,0,,4,1,0.225168,0.0760846,0.304258,0.250066,0.286611,0.425802,0.310178,0.712413,0.200634,4.3734,0.283869,-0.0213685,0.0708562,23.4071,-0.684757,93.1628,0.0494877,-0.72106,-1.6327085420489311,-2.7252269983291626,0.26626,747.030029296875,,,,,,,221.3,4.610416666,221.3,4.610416666,,,,,,,,,,,,,,,,,,,"Alexander Canario","22842",672744
"Riley Adams","WSN",22,87,78,18,10,4,0,3,10,10,7,0,26,2,1,0,,0,0,0.235834,0.0753801,0.299959,0.251302,0.310418,0.429285,0.324285,0.739703,0.193451,3.46321,0.306,-0.0248417,-0.120874,10.8103,0.689962,105.575,-0.145716,-1.7929,0.43049682676792145,-0.09228074550628662,0.265951,748.2100219726562,,,,,,,89.6,4.072727272,89.6,4.072727272,,,,,,,,,,,,,,,,,,,"Riley Adams","19864",656180
"Christian Encarnacion-Strand","CIN",49,211,195,50,30,10,1,9,24,28,11,0,57,2,2,0,,1,0,0.255063,0.0528581,0.268672,0.196738,0.301188,0.455499,0.327793,0.756687,0.200435,3.541,0.308943,-0.0560874,-0.232965,26.7243,2.25581,101.082,-0.289053,0.11106,-0.018713146448135376,-4.471655890345573,0.263773,213.66000366210938,,,,,,,245.2,5.004081632,245.2,5.004081632,,,,,,,,,,,,,,,,,,,"Christian Encarnacion-Strand","30011",687952
"Jorbit Vivas","NYY",25,107,94,21,15,4,0,1,12,9,9,0,18,3,1,0,,3,1,0.221327,0.088371,0.163464,0.540614,0.309755,0.318292,0.286975,0.628047,0.0969658,5.09409,0.25467,-0.000750909,0.0128545,10.1141,-2.33105,82.8049,0.0121036,0.657045,-2.081502369605005,1.0394529104232788,0.261712,750.260009765625,,,,,,,83.5,3.34,83.5,3.34,,,,,,,,,,,,,,,,,,,"Jorbit Vivas","23917",678391
"James Outman","LAD",14,61,53,12,7,2,0,3,8,8,6,0,20,1,0,0,,1,0,0.223853,0.0961209,0.331809,0.289687,0.310587,0.421832,0.322144,0.732419,0.197979,6.02524,0.302241,0.0133053,0.0169082,7.4286,0.377338,105.475,0.0302136,-0.00106116,0.42449883185327053,0.07116105547174811,0.261122,693.9000244140625,,,,,,,71.1,5.078571428,71.1,5.078571428,,,,,,,,,,,,,,,,,,,"James Outman","24770",681546
"Gavin Sheets","SDP",79,339,307,74,47,15,0,11,36,39,27,1,75,2,3,0,,2,1,0.240619,0.0809763,0.219734,0.36852,0.305258,0.404146,0.312125,0.709405,0.163527,2.8019,0.279686,-0.23562,-0.468541,38.8497,-0.595211,100.738,-0.704161,-0.267213,-0.4068211615085602,-8.420917004346848,0.260872,557.0700073242188,,,,,,,342.3,4.332911392,342.3,4.332911392,,,,,,,,,,,,,,,,,,,"Gavin Sheets","19901",657757
"Will Benson","CIN",32,140,121,26,15,5,1,5,17,15,17,0,46,1,1,0,,5,1,0.211705,0.124348,0.328064,0.379036,0.315256,0.385295,0.312714,0.700551,0.173589,6.0542,0.295649,-0.045878,0.141,16.1319,-0.180466,90.9711,0.0951216,0.060697,-1.4089928194880486,-0.7985622435808182,0.257148,686.0499877929688,,,,,,,152.5,4.765625,152.5,4.765625,,,,,,,,,,,,,,,,,,,"Will Benson","21853",666181
"Ezequiel Duran","TEX",21,90,84,20,13,4,0,3,10,10,5,0,23,1,1,0,,2,1,0.24386,0.0529237,0.251992,0.210022,0.288525,0.398651,0.300862,0.687176,0.154792,5.17988,0.301468,-0.0325778,-0.0370081,9.51948,-0.967012,92.5482,-0.0695859,0.340746,-0.834091953933239,0.3049440234899521,0.25661,722.4199829101562,,,,,,,86.8,4.133333333,86.8,4.133333333,,,,,,,,,,,,,,,,,,,"Ezequiel Duran","23733",677649
"Colson Montgomery","CHW",41,177,156,31,21,6,0,4,16,14,16,0,53,4,1,0,,1,0,0.200403,0.09147,0.300579,0.304313,0.289364,0.31956,0.2772,0.608923,0.119156,3.34316,0.274246,0,-0.251093,15.3374,-5.22875,75.4584,-0.251093,-0.140515,-5.189031332731247,1.75531867146492,0.255449,576.3300170898438,,,,,,,134.5,3.280487804,134.5,3.280487804,,,,,,,,,,,,,,,,,,,"Colson Montgomery","sa3017170",695657
"Chris Taylor","LAD",33,142,126,27,18,5,1,4,17,16,14,0,45,1,1,0,,3,1,0.217089,0.0955875,0.318159,0.30044,0.298524,0.360345,0.295071,0.658869,0.143256,5.38579,0.30177,-0.0351,0.0725728,14.2833,-2.16967,87.3225,0.0374728,-0.124658,-2.0926560908555984,-0.26910263299942017,0.245384,711.5499877929688,,,,,,,130.9,3.966666666,130.9,3.966666666,,,,,,,,,,,,,,,,,,,"Chris Taylor","13757",621035
"Eric Haase","MIL",26,102,93,20,13,3,0,4,10,11,7,0,34,0,1,0,,1,0,0.217774,0.0709402,0.330187,0.214849,0.275802,0.385023,0.290861,0.660825,0.16725,3.1257,0.290929,-0.0455575,-0.116079,9.9199,-1.89936,82.427,-0.161636,-0.537351,-2.282755807042122,1.448760211467743,0.24385,706.9500122070312,,,,,,,88.2,3.392307692,88.2,3.392307692,,,,,,,,,,,,,,,,,,,"Eric Haase","14111",606992
"Rafael Marchán","PHI",26,103,92,21,15,4,0,1,11,8,8,0,17,2,1,0,,0,0,0.224186,0.0795038,0.167483,0.474698,0.296472,0.313861,0.277026,0.610334,0.0896757,3.55498,0.262584,-0.0229355,-0.153905,8.8754,-3.04488,72.9328,-0.17684,0.734189,-3.4718677401542664,2.7372754216194153,0.238081,707.3800048828125,,,,,,,76.6,2.946153846,76.6,2.946153846,,,,,,,,,,,,,,,,,,,"Rafael Marchan","21646",665561
